Donations_Id,Donor_id,Donation_date,Volume_ml
1,57,2024-06-23,350
2,181,2024-08-11,350
3,20,2024-08-13,350
4,432,2024-08-07,500
5,134,2024-01-29,350
6,230,2023-09-21,500
7,431,2024-07-06,350
8,203,2023-10-31,350
9,448,2024-12-25,500
10,380,2023-07-01,350
11,438,2024-05-19,450
12,84,2025-01-16,350
13,28,2024-01-02,350
14,265,2024-11-02,500
15,352,2024-07-25,500
16,392,2023-10-26,350
17,27,2025-01-30,450
18,162,2023-10-17,350
19,456,2023-05-12,350
20,152,2023-06-03,350
21,402,2023-09-11,350
22,135,2024-02-02,500
23,483,2025-04-07,350
24,413,2023-12-12,350
25,411,2023-11-16,350
26,43,2024-05-04,500
27,23,2023-06-23,350
28,48,2024-03-04,350
29,275,2025-01-10,450
30,402,2024-04-07,350
31,246,2025-02-12,450
32,49,2025-03-19,450
33,54,2023-12-28,350
34,418,2023-06-17,350
35,431,2024-05-18,350
36,79,2023-10-28,350
37,152,2023-11-23,350
38,91,2023-05-20,500
39,248,2023-08-12,450
40,260,2023-07-01,350
41,332,2023-07-22,350
42,291,2024-05-16,500
43,105,2024-10-19,450
44,213,2024-02-21,500
45,381,2024-10-28,350
46,2,2023-11-28,450
47,47,2024-05-31,350
48,374,2023-11-20,450
49,339,2023-11-06,450
50,386,2024-07-05,500
51,297,2023-09-08,500
52,456,2025-05-03,350
53,114,2025-03-14,500
54,100,2023-09-10,500
55,346,2024-05-21,350
56,288,2023-07-14,500
57,282,2025-01-25,500
58,100,2024-03-28,450
59,148,2023-12-08,450
60,147,2023-12-19,450
61,214,2024-02-14,500
62,174,2023-06-15,450
63,304,2024-10-02,350
64,130,2023-08-23,500
65,221,2025-03-20,450
66,140,2024-03-23,450
67,5,2024-12-30,450
68,119,2024-03-09,500
69,120,2023-06-10,450
70,262,2024-08-21,450
71,456,2024-03-20,450
72,490,2024-08-19,500
73,183,2024-12-19,350
74,450,2024-12-11,500
75,195,2023-10-26,450
76,319,2023-11-21,500
77,80,2024-02-02,350
78,412,2024-11-12,500
79,228,2024-07-09,350
80,309,2025-03-07,450
81,308,2024-03-19,500
82,407,2023-10-21,500
83,225,2023-11-19,500
84,322,2023-12-27,350
85,482,2023-10-08,350
86,139,2025-02-26,500
87,284,2024-12-12,450
88,474,2024-08-22,450
89,122,2025-04-15,500
90,109,2024-12-11,450
91,127,2023-09-25,450
92,499,2024-06-15,450
93,491,2023-10-01,500
94,96,2023-08-21,350
95,38,2024-03-14,450
96,163,2024-07-19,350
97,1,2024-02-28,450
98,116,2025-03-07,450
99,162,2024-10-17,350
100,151,2024-11-08,500
101,254,2023-09-10,450
102,91,2025-01-07,450
103,412,2024-11-02,500
104,94,2025-01-12,450
105,207,2025-02-09,350
106,350,2025-02-08,450
107,40,2024-12-08,450
108,267,2024-08-12,500
109,492,2024-07-23,500
110,445,2023-11-25,500
111,404,2023-09-17,450
112,223,2024-04-30,450
113,103,2025-01-24,350
114,237,2023-11-13,500
115,413,2025-01-13,350
116,262,2023-08-29,350
117,181,2024-07-07,450
118,498,2023-07-08,500
119,363,2024-11-14,450
120,120,2023-11-15,450
121,240,2024-06-16,350
122,481,2024-08-07,350
123,58,2024-03-23,350
124,469,2023-08-05,500
125,367,2024-11-25,450
126,404,2025-01-23,350
127,236,2024-03-18,500
128,446,2023-10-27,450
129,470,2023-07-29,350
130,287,2024-10-08,450
131,48,2024-12-15,350
132,60,2023-11-21,500
133,109,2024-12-28,450
134,485,2023-07-27,450
135,369,2023-08-13,450
136,27,2023-12-30,500
137,137,2024-06-07,450
138,495,2024-12-01,500
139,255,2023-07-10,350
140,293,2024-11-06,450
141,291,2024-02-19,350
142,455,2023-06-26,450
143,323,2023-11-08,350
144,349,2024-12-06,350
145,252,2024-07-11,500
146,269,2023-10-27,450
147,283,2024-09-03,500
148,483,2024-03-11,350
149,253,2023-05-31,350
150,391,2025-04-09,500
151,128,2025-03-21,350
152,428,2025-04-16,350
153,232,2024-10-14,450
154,446,2023-08-25,450
155,334,2025-02-28,350
156,45,2025-01-21,350
157,228,2023-09-05,500
158,277,2024-07-25,450
159,455,2023-12-26,450
160,430,2024-06-01,450
161,281,2024-08-21,500
162,314,2024-03-07,450
163,160,2025-03-28,350
164,27,2023-10-12,450
165,352,2024-03-18,500
166,430,2025-02-06,500
167,240,2023-08-07,500
168,431,2023-10-29,500
169,69,2024-10-12,500
170,5,2023-10-30,500
171,355,2023-08-18,350
172,499,2024-09-22,500
173,215,2023-11-11,350
174,289,2023-09-30,450
175,476,2024-05-07,450
176,244,2025-01-09,500
177,70,2025-04-28,350
178,421,2025-02-05,450
179,39,2023-08-26,500
180,194,2023-07-29,450
181,360,2023-05-16,500
182,440,2024-07-19,450
183,271,2023-06-26,500
184,104,2024-02-02,500
185,400,2025-03-27,450
186,153,2024-10-30,350
187,353,2023-07-31,350
188,428,2023-06-06,350
189,441,2025-04-18,450
190,29,2023-08-04,500
191,41,2024-07-14,450
192,256,2023-05-21,350
193,341,2024-09-12,500
194,371,2025-01-30,500
195,36,2023-05-22,500
196,198,2023-08-28,450
197,97,2024-05-10,350
198,61,2023-12-02,450
199,346,2024-05-02,500
200,420,2024-07-08,500
201,89,2024-02-23,350
202,289,2023-08-09,350
203,366,2024-02-18,500
204,406,2023-06-30,350
205,373,2023-05-09,500
206,443,2023-07-19,350
207,449,2024-03-09,350
208,21,2024-06-02,450
209,115,2024-08-22,350
210,113,2025-01-11,500
211,236,2024-08-01,350
212,224,2024-11-14,350
213,49,2024-11-01,500
214,297,2023-10-14,350
215,225,2025-05-03,350
216,34,2024-04-28,500
217,6,2024-03-24,500
218,21,2023-08-20,500
219,207,2024-11-11,450
220,119,2025-04-17,350
221,400,2025-05-01,450
222,325,2023-07-25,500
223,70,2025-02-28,450
224,466,2024-01-13,450
225,121,2024-06-19,500
226,425,2024-10-14,500
227,463,2024-01-30,350
228,33,2024-01-08,500
229,413,2023-06-27,500
230,29,2023-06-09,350
231,388,2024-07-08,350
232,318,2024-05-17,500
233,114,2025-02-28,450
234,269,2024-03-30,500
235,439,2024-11-09,500
236,186,2023-10-14,350
237,150,2025-01-03,500
238,26,2024-09-09,450
239,356,2023-10-14,500
240,417,2024-02-13,500
241,4,2025-04-13,350
242,481,2023-08-29,350
243,141,2023-06-28,450
244,405,2023-09-26,350
245,146,2023-08-08,450
246,74,2025-04-18,350
247,326,2023-11-20,500
248,394,2024-02-10,500
249,77,2024-01-31,350
250,226,2024-09-09,450
251,22,2023-09-19,450
252,94,2023-07-03,350
253,443,2024-08-11,500
254,348,2024-03-07,500
255,167,2023-06-04,350
256,464,2024-04-12,350
257,232,2024-12-24,450
258,294,2024-10-28,350
259,393,2024-06-07,450
260,416,2024-04-04,450
261,110,2025-03-26,500
262,425,2024-01-17,350
263,116,2024-09-02,500
264,187,2023-11-06,500
265,92,2024-08-27,450
266,242,2023-11-04,350
267,1,2025-03-11,500
268,498,2024-10-23,450
269,402,2023-10-26,350
270,454,2023-07-28,350
271,88,2023-07-25,450
272,259,2024-03-12,350
273,476,2023-05-29,500
274,56,2023-12-07,500
275,171,2025-01-26,500
276,43,2023-11-28,450
277,431,2024-03-07,350
278,304,2023-06-19,450
279,258,2023-06-12,500
280,12,2024-05-20,500
281,398,2023-11-24,500
282,230,2024-06-20,500
283,373,2024-07-11,450
284,35,2024-03-24,350
285,352,2023-11-16,350
286,65,2023-08-18,500
287,192,2025-03-04,350
288,16,2023-11-02,500
289,198,2025-05-01,350
290,279,2023-08-25,450
291,82,2025-04-29,500
292,191,2024-06-23,500
293,486,2023-07-11,450
294,482,2024-03-05,350
295,10,2024-03-20,450
296,373,2024-09-30,350
297,395,2025-02-16,450
298,165,2024-12-04,350
299,11,2023-12-13,500
300,404,2023-07-16,500
301,455,2023-10-29,450
302,104,2024-10-27,450
303,284,2024-02-28,350
304,245,2023-11-24,350
305,489,2024-10-13,500
306,295,2023-12-03,500
307,164,2023-10-09,500
308,226,2024-01-04,450
309,449,2023-11-16,350
310,375,2024-01-04,350
311,235,2024-03-28,350
312,23,2023-05-31,500
313,31,2025-03-25,500
314,254,2023-05-14,350
315,352,2024-03-22,450
316,22,2023-11-26,500
317,417,2025-01-03,450
318,117,2024-11-27,350
319,181,2024-09-29,450
320,198,2024-04-17,500
321,151,2023-08-01,450
322,186,2024-08-28,450
323,411,2023-11-20,450
324,456,2024-07-22,350
325,499,2024-02-07,450
326,423,2024-03-26,450
327,356,2024-06-01,500
328,88,2025-03-02,500
329,198,2024-07-27,500
330,180,2025-03-26,500
331,199,2023-09-06,450
332,163,2024-06-16,450
333,453,2024-07-14,500
334,156,2023-09-20,450
335,141,2024-09-15,500
336,189,2025-01-04,350
337,61,2024-08-27,350
338,399,2025-03-10,500
339,204,2024-03-16,450
340,222,2024-04-18,450
341,143,2024-04-21,350
342,259,2023-12-24,450
343,121,2024-12-01,500
344,496,2025-05-08,500
345,399,2024-03-17,350
346,92,2023-09-01,500
347,58,2023-08-25,350
348,330,2023-11-05,500
349,293,2024-07-05,500
350,158,2024-03-01,500
351,27,2025-04-26,350
352,343,2024-06-15,500
353,375,2023-09-03,350
354,427,2023-05-30,500
355,225,2024-03-02,350
356,308,2024-09-04,450
357,218,2024-05-22,350
358,447,2023-11-13,350
359,422,2023-06-09,350
360,323,2024-02-25,350
361,307,2024-04-17,500
362,139,2024-08-06,350
363,366,2025-01-24,450
364,400,2023-10-27,350
365,96,2023-05-29,450
366,83,2024-03-16,500
367,384,2024-03-24,500
368,419,2023-12-17,500
369,79,2023-10-26,450
370,314,2025-01-09,350
371,265,2023-11-25,500
372,310,2023-11-23,450
373,122,2024-07-16,500
374,342,2025-04-19,450
375,240,2024-02-13,350
376,107,2024-04-28,500
377,24,2024-04-12,500
378,90,2024-02-10,500
379,323,2024-09-05,500
380,171,2023-06-24,450
381,355,2023-08-15,500
382,149,2024-10-11,350
383,62,2024-11-29,350
384,56,2024-09-10,350
385,176,2023-08-29,450
386,296,2024-12-05,450
387,441,2025-01-04,350
388,315,2023-12-01,350
389,277,2024-07-11,450
390,326,2024-12-11,350
391,267,2024-07-19,500
392,483,2023-09-25,450
393,251,2025-02-01,450
394,331,2024-08-22,350
395,482,2023-12-04,500
396,426,2024-11-29,450
397,359,2024-07-05,350
398,146,2025-04-30,500
399,240,2025-01-19,450
400,368,2024-07-09,350
401,228,2024-05-23,350
402,274,2025-04-21,450
403,422,2024-11-15,350
404,396,2023-05-31,500
405,405,2023-10-05,350
406,495,2024-10-18,500
407,149,2024-06-04,350
408,44,2024-06-29,450
409,64,2024-08-01,350
410,38,2023-08-10,500
411,329,2023-12-07,500
412,176,2024-11-13,350
413,353,2023-09-02,500
414,248,2024-02-28,450
415,55,2023-10-11,500
416,108,2023-09-08,450
417,301,2024-11-15,500
418,367,2024-04-18,450
419,292,2024-07-15,500
420,170,2024-04-03,500
421,424,2023-07-15,500
422,112,2023-06-15,350
423,406,2023-07-20,500
424,188,2024-05-11,500
425,45,2025-03-23,350
426,215,2023-12-01,350
427,302,2025-03-26,450
428,89,2025-04-07,450
429,17,2023-05-26,500
430,211,2023-11-25,450
431,6,2024-05-09,500
432,442,2024-06-02,450
433,413,2023-06-26,500
434,376,2024-02-14,500
435,189,2024-06-20,450
436,454,2024-12-04,500
437,427,2024-02-08,350
438,48,2023-08-28,350
439,18,2024-02-14,450
440,73,2024-06-30,500
441,362,2023-10-04,450
442,352,2025-03-20,350
443,118,2023-05-18,350
444,116,2025-04-06,500
445,497,2023-12-12,450
446,226,2024-05-05,450
447,377,2024-10-01,450
448,426,2023-09-28,450
449,384,2024-08-14,450
450,241,2024-09-26,500
451,500,2023-08-04,450
452,117,2023-11-20,450
453,408,2025-01-30,350
454,337,2024-01-16,450
455,499,2024-05-17,350
456,134,2024-10-07,500
457,153,2024-01-03,350
458,435,2023-05-18,500
459,210,2025-04-08,350
460,211,2025-04-02,350
461,63,2024-10-15,500
462,116,2024-02-20,450
463,266,2023-05-23,450
464,234,2024-05-28,500
465,450,2024-08-18,450
466,11,2024-03-29,350
467,229,2023-12-28,350
468,353,2024-12-21,500
469,170,2023-10-02,350
470,402,2024-06-07,500
471,457,2024-08-29,350
472,111,2024-04-07,450
473,110,2024-10-01,500
474,133,2024-12-08,350
475,433,2024-07-07,500
476,126,2025-01-24,350
477,70,2024-01-29,450
478,374,2024-08-21,500
479,257,2025-01-03,450
480,334,2025-02-10,450
481,344,2023-12-02,500
482,61,2025-01-10,350
483,385,2024-08-29,350
484,344,2023-05-26,450
485,201,2023-12-05,350
486,123,2025-01-01,450
487,39,2024-01-07,500
488,234,2023-07-23,500
489,40,2025-01-18,500
490,30,2024-07-31,350
491,134,2024-06-01,500
492,41,2023-11-15,500
493,297,2023-10-11,500
494,424,2025-04-30,450
495,166,2024-03-15,350
496,186,2025-03-29,450
497,241,2023-07-27,450
498,178,2024-07-18,500
499,402,2024-08-15,350
500,80,2023-08-08,500
